Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/TC_Approval_CESCOM/Page_HRMS/input_Login to HRMS_Password""), password)",Chrome 104.0.5112.81,,,2022-08-24 11:07:15,2022-08-24 11:07:15,0.656s,PASSED
"a = Integer.parseInt(xpath(""/html/body/div/div[1]/div[2]/div[2]/div/div/form/label/div/span[1]"")).getText())",Chrome 104.0.5112.81,,,2022-08-24 11:07:15,2022-08-24 11:07:16,0.277s,PASSED
"b = Integer.parseInt(xpath(""/html/body/div/div[1]/div[2]/div[2]/div/div/form/label/div/span[2]"")).getText())",Chrome 104.0.5112.81,,,2022-08-24 11:07:16,2022-08-24 11:07:16,0.278s,PASSED
output = String.valueOf(a + b),Chrome 104.0.5112.81,,,2022-08-24 11:07:16,2022-08-24 11:07:16,0.000s,PASSED
"className(""submit__input"")).sendKeys(output)",Chrome 104.0.5112.81,,,2022-08-24 11:07:16,2022-08-24 11:07:16,0.309s,PASSED
"click(findTestObject(""Object Repository/TC_Approval_CESCOM/Page_HRMS/input__BtnLogin""))",Chrome 104.0.5112.81,,,2022-08-24 11:07:16,2022-08-24 11:07:23,7.164s,PASSED
"click(findTestObject(""Object Repository/TC_Approval_CESCOM/Page_HRMS/p""))",Chrome 104.0.5112.81,,,2022-08-24 11:07:23,2022-08-24 11:07:34,10.516s,PASSED
"se2 = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.xpath(//*[@id=""ddlSubject""])))",Chrome 104.0.5112.81,,,2022-08-24 11:07:34,2022-08-24 11:07:35,1.539s,PASSED
b3 = Subject,Chrome 104.0.5112.81,,,2022-08-24 11:07:35,2022-08-24 11:07:35,0.001s,PASSED
se2.selectByVisibleText(b3),Chrome 104.0.5112.81,,,2022-08-24 11:07:35,2022-08-24 11:07:36,0.790s,PASSED
"sendKeys(findTestObject(""Object Repository/TC_Approval_CESCOM/Page_HRMS/Page_HRMS/Search_Box_Approval""), Search_Box)",Chrome 104.0.5112.81,,,2022-08-24 11:07:36,2022-08-24 11:07:37,0.970s,PASSED
"click(findTestObject(""Approval/Page_HRMS/approver""))",Chrome 104.0.5112.81,,,2022-08-24 11:07:37,2022-08-24 11:07:38,0.273s,FAILED
